date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac
2022-05-19,AR_E_063,0,5510,1,5103,1,10613,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_070,1,29322,2,26146,3,55468,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_077,0,15691,0,14297,0,29988,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_084,1,126037,11,110689,12,236726,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-17,AR_E_088,0,9133,1,8412,1,17545,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_091,0,11443,0,10298,0,21741,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_098,4,38590,3,34574,7,73164,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_105,2,15777,2,14684,4,30461,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_E_113,0,17523,0,15989,0,33512,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F,8,166403,72,153925,80,320328,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-18,AR_F_007,0,6991,0,6666,0,13657,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_014,6,97494,45,90185,51,187679,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_021,0,2298,0,2091,0,4389,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_028,0,4552,10,4418,10,8970,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_035,1,5230,0,4898,1,10128,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_042,0,22756,2,20472,2,43228,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_049,0,2567,0,2381,0,4948,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_056,0,1293,0,1183,0,2476,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_063,1,3622,1,3377,2,6999,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_070,0,1486,2,1299,2,2785,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-16,AR_F_077,0,902,1,882,1,1784,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_084,0,3028,7,2738,7,5766,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_091,0,2015,0,1935,0,3950,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-19,AR_F_098,0,1112,5,1103,5,2215,,,,,,,,,,,,,,,,,,,,,,,,
